name,cuisine,overall_rating,latitude,longitude,feature,type
Brother Baba Budan,Coffee and Tea,4.6,-37.81351662,144.9621062,Cafe,normal
Le Petit Gateau,"French, Desserts, Coffee and Tea",4.9,-37.81634645,144.9596325,Cafe,normal
Little Rogue,Coffee and Tea,4.7,-37.81102546,144.9640518,Cafe,normal
Patricia Coffee Brewers,Coffee and Tea,4.9,-37.81471356,144.9582602,Cafe,normal
Shortstop Coffee & Donuts,"Desserts, Coffee and Tea",4.6,-37.81131762,144.9609662,Cafe,normal
Matcha by Chokolait,"Coffee and Tea, Desserts",4.5,-37.81486401,144.9640608,Cafe,normal
Dukes Coffee Roasters,"Coffee and Tea, Desserts",4.7,-37.81679062,144.9661526,Cafe,normal
Koko Black,"Coffee and Tea, Desserts, Sandwich",4.6,-37.81445505,144.964096,Cafe,normal
Mork Chocolate Brew House,Desserts,4.6,-37.80153656,144.9500627,Cafe,normal
Tsujiri,"Japanese, Desserts, Coffee and Tea",3.6,-37.81427812,144.9660477,Cafe,normal
Dari Korean Cafe and Bar,"Cafe Food, Korean",4.1,-37.81403126,144.96139,Cafe,normal
Brown Bagels,"Sandwich, Coffee and Tea, Cafe Food",4.3,-37.81585063,144.963178,Cafe,normal
5 & Dime Bagels,"Bakery, Coffee and Tea",4.3,-37.81998026,144.9565158,Cafe,normal
Spring Street Grocer,"Ice Cream, Cafe Food",4.6,-37.81104797,144.9726969,Cafe,normal
Mister Close,"Healthy Food, Coffee and Tea, Cafe Food",4.3,-37.8131646,144.9658857,Cafe,normal
EARL Canteen,"Sandwich, Coffee and Tea",4.4,-37.81494956,144.958735,Cafe,normal
LuxBite,"Desserts, Coffee and Tea, Cafe Food",4.5,-37.83860867,144.9877085,Cafe,normal
Chokolait,"Desserts, Coffee and Tea, Cafe Food",4,-37.81270611,144.9639968,Cafe,normal
Tropicana Juice Food Bar,"Juices, Cafe Food",4.4,-37.81356006,144.9626939,Cafe,normal
Cupcake Central,"Desserts, Coffee and Tea",4.3,-37.81021465,144.9628381,Cafe,normal
Ganache Chocolate,"French, Desserts, Coffee and Tea",4.3,-37.81591208,144.9655679,Cafe,normal
A25 Pizzeria - CBD,"Italian, Pizza",4.1,-37.81286794,144.9608164,Cafe,normal
Cup of Truth,Coffee and Tea,4.3,-37.81780582,144.9659548,Cafe,normal
Club Colombia,"Colombian, Cafe Food",4,-37.81580852,144.9612341,Cafe,normal
Max Brenner,"Desserts, Coffee and Tea",3.8,-37.81063476,144.9653754,Cafe,normal
